,text
63,#ad The Nike Women's Air Max 97 'Glam Dunk' is now available via @FinishLine for $95! (retail $170) #SneakerScouts https://www.finishline.com/store/product/womens-nike-air-max-97-glam-dunk-casual-shoes/prod2792851?styleId=CT1148&amp;colorId=600&amp;ranMID=37731&amp;ranEAID=zAJE4hSbGa4&amp;ranSiteID=zAJE4hSbGa4-FcFyed46cpIwNoPA45KRLA&amp;CMP=AFL-LS-affiliatechannel&amp;sourceid=affiliate&amp;utm_source=3516449&amp;utm_medium=affiliate&amp;utm_campaign=1&amp;siteID=zAJE4hSbGa4-FcFyed46cpIwNoPA45KRLA
64,"Ad: Nike Air Max 270 'White/Active Fuchsia' on sale for $97.50 + FREE shipping, use code KLARNA =&gt; https://bit.ly/3kuh3si"
65,"Air Max 97 Golf NRG 'Tie-Dye' - Size 12 - Ck1219-100 - New ‘No Lid’ . *Price $225 each, shipped. . DM to purchase . . . . #Nike #NikeKicks #NikeSneakers #SneakerHead #SneakerHeads #NewWithoutBox #Hype #HypeBeast… https://www.instagram.com/p/CDppyIxpP7N/?igshid=kocbrel9ka3p"
66,#ad The Nike Women's Air Max 97 'Grape' is now available via @FinishLine for $135! (use code 15DRIP150 - retail $170) #SneakerScouts @Nike https://www.finishline.com/store/product/women's+nike+air+max+97+casual+shoes/prod2771647?styleId=CI7388&amp;colorId=101&amp;ranMID=37731&amp;ranEAID=zAJE4hSbGa4&amp;ranSiteID=zAJE4hSbGa4-FSPqBJVR3x0vDZklYKuTTg&amp;CMP=AFL-LS-affiliatechannel&amp;sourceid=affiliate&amp;utm_source=3516449&amp;utm_medium=affiliate&amp;utm_campaign=1&amp;siteID=zAJE4hSbGa4-FSPqBJVR3x0vDZklYKuTTg
67,#ad Nike Air Max 97 $83.99 Free Shipping use code DWN40 at checkout https://bit.ly/2XHu1ct
68,Nike Air Max 97 ‘Joker’ $83.99 Free Shipping 
69,"jacket and purse from h&m, jeans from gap, hijab from culture hijab and shoes are nike air max 97 🤍"
70,"Buy #Nike Air Max 97 ""USA"" White University Red Blue USA CW5584-100 Men’s Size 11 BRAND NEW AUTHENTIC #NIB 👟👟👟 http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=4&amp;pub=5575607027&amp;toolid=10001&amp;campid=5338718122&amp;customid=Nike+Air+Max+97+%22USA%22+White+University+Red+Blue+USA+CW5584-100+Men%E2%80%99s+Size+11&amp;mpre=https%3A%2F%2Fwww.ebay.com%2Fitm%2F164300183846 only on #Ebay #BuyItNow for $200 #ebayforbusiness #ebayROCteam #ebayseller #ebaydeals #ebayfinds #AirMax97 #AirMaxUSA #Sneakers"
71,#ad $108.75 w/code KLARNA: WMNS Nike Air Max 97 ‘V-Day’ https://bit.ly/33Gp7k3
72,$108.75 w/code KLARNA: WMNS Nike Air Max 97 ‘V-Day’ https://bit.ly/33BusZQ #AD
73,#ad $97.50 w/code KLARNA: Nike Air Max 270 ‘White/Magma Orange/Active Fuchsia’ https://bit.ly/33HvF1x
74,$97.50 w/code KLARNA: Nike Air Max 270 ‘White/Magma Orange/Active Fuchsia’ https://bit.ly/2XJxIhV #AD
